"country","emissions_per_sqkm","gdp","gdp_rank"
"Sri Lanka","0.35607376924249352233","$84,008,783,756 ","67"
"El Salvador","0.34071574544936077183","$27,022,640,000 ","102"
"Ukraine","0.33510065446110512799","$153,781,069,118 ","56"
"Liechtenstein","0.31875000000000000000","$6,552,858,739 ","145"
"Croatia","0.30900802205180761211","$60,415,553,039 ","77"
"Indonesia","0.29577557967183126471","$1,119,190,780,753 ","16"
"Romania","0.29052690747553389180","$250,077,444,017 ","45"
"Jordan","0.28103243715161961899","$43,743,661,972 ","87"
"Belarus","0.28073217726396917148","$63,080,457,023 ","75"
"Saudi Arabia","0.26210709451130162954","$792,966,838,162 ","18"
"Cuba","0.25513259967526610139","$100,023,000,000 ","61"
"Pakistan","0.25267084958453450907","$304,400,000,000 ","39"
"Mexico","0.24761361756283805282","$1,258,286,717,125 ","15"
"Dominica","0.23968042609853528628","$596,033,333 ","178"
"Egypt","0.23821458884617304908","$303,175,127,598 ","40"
"North Korea","0.23464799482320927840","$32,100,000,000 ","98"
"Uzbekistan","0.20521010281627179258","$57,921,286,440 ","79"
"Oman","0.20503069466882067851","$76,983,094,928 ","68"
"Federated States of Micronesia","0.20370370370370370370","$401,932,279 ","181"
"Equatorial Guinea","0.20159709101279811771","$11,026,774,945 ","138"
"Lithuania","0.19851454823889739663","$54,219,315,600 ","81"
"Tunisia","0.18297781309210928427","$38,797,709,924 ","92"
"Venezuela","0.18000657858670029055","$482,359,318,768 ","25"
"Armenia","0.17335171300810274686","$13,672,802,158 ","129"
"Tonga","0.17135207496653279786","$450,353,314 ","179"
"Albania","0.15778488938360929456","$15,278,077,447 ","122"
"Costa Rica","0.15700587084148727984","$61,773,944,174 ","76"
"Syria","0.15568635921805810563","$40,405,006,007 ","90"
"Guatemala","0.15407433257721165591","$76,710,385,880 ","69"
"Moldova","0.15110336474550234853","$11,955,435,457 ","136"
"Montenegro","0.14603243556327830872","$5,494,736,901 ","148"
"Georgia","0.14530846484935437590","$17,743,195,770 ","117"
"Ecuador","0.14513631987473594747","$107,435,665,000 ","59"
"Turkmenistan","0.14470395410776480229","$40,761,142,857 ","89"
"Panama","0.14207106868204720233","$66,800,800,000 ","73"
"Morocco","0.13722091591087224275","$118,725,279,596 ","58"
"Finland","0.13565482263526002159","$268,761,201,365 ","43"
"Cabo Verde","0.13463922638234564840","$1,981,845,741 ","164"
"Nigeria","0.13030219708844644976","$448,120,428,859 ","27"
"The Bahamas","0.12867435158501440922","$12,827,000,000 ","133"
"New Zealand","0.12789114634091906650","$206,928,765,544 ","51"
"Norway","0.12669162018764553647","$403,336,363,636 ","31"
"Sao Tome and Principe","0.12551867219917012448","$429,016,605 ","180"
"Chile","0.11350675046554934823","$282,318,159,745 ","42"
"Fiji","0.11196235088103316187","$5,535,548,972 ","147"
"Latvia","0.10843951756491043367","$34,117,202,555 ","97"
"Haiti","0.10731531531531531532","$8,498,981,821 ","140"
"Russia","0.10129855470504566552","$1,699,876,578,871 ","12"
"Sweden","0.09605258774803184579","$530,832,908,738 ","23"
"Kazakhstan","0.09072149436676575287","$180,161,741,180 ","53"
"Comoros","0.09038031319910514541","$1,185,728,677 ","173"
"Honduras","0.08754572218752787938","$25,095,395,475 ","104"
"Samoa","0.08689509007417873543","$850,655,017 ","176"
"Colombia","0.08588387142092000246","$323,802,808,108 ","38"
"Lesotho","0.08275407675835941361","$2,460,072,444 ","159"
"Kiribati","0.08138101109741060419","$194,647,202 ","184"
"Laos","0.07501266891891891892","$18,173,839,128 ","116"
"Argentina","0.07241691842900302115","$449,663,446,954 ","26"
"Ghana","0.06988550850406442714","$66,983,634,224 ","72"
"Algeria","0.06298165921483486240","$169,988,236,398 ","54"
"Nepal","0.06186260454814140412","$30,641,380,604 ","100"
"Benin","0.05750208662605885173","$14,390,709,095 ","125"
"Senegal","0.05541830603592887425","$23,578,084,052 ","109"
"Cambodia","0.05479051012235203138","$27,089,389,787 ","101"
"Canada","0.05457306050174918150","$1,736,425,629,520 ","11"
"Brazil","0.05428739855585578286","$1,839,758,040,766 ","10"
"Togo","0.05283085321827947521","$5,459,979,417 ","149"
"Kyrgyzstan","0.04894699201304319558","$8,454,619,608 ","141"
"Australia","0.04855927101929670000","$1,392,680,589,329 ","14"
"The Gambia","0.04707964601769911504","$1,763,819,048 ","166"
"Peru","0.04467264646565246620","$226,848,050,820 ","49"
"Nicaragua","0.04289330367415816522","$12,520,915,291 ","134"
"Rwanda","0.04233426987622446655","$10,122,472,590 ","139"
"Uruguay","0.03839627727491984224","$56,045,912,952 ","80"
"Myanmar","0.03736450194951653763","$76,085,852,617 ","70"
"Tajikistan","0.03684941013185287994","$8,116,626,794 ","142"
"Timor-Leste","0.03327954820492133925","$1,673,540,300 ","169"
"Bhutan","0.03284367349064958066","$2,446,674,101 ","160"
"Kenya","0.03085978355075323028","$95,503,088,538 ","63"
"Côte d'Ivoire","0.03000034112440807162","$58,792,205,642 ","78"
"Libya","0.02873705627607215522","$52,076,250,948 ","84"
